AUTOPISTA;BANDA y/o RAMAL;PK;CONDICIONES METEOROLOGICAS;SUPERFICIE DE LA VIA;LESIONADOS;FALLECIDOS;TIPO DE SINIESTRO;MOTO;LVIANO;BUS;CAMION;FECHA_AÑO;FECHA_MES;FECHA_DIA;FECHA_HORA;FECHA_DIASEMANA
AU 25 DE MAYO;DESCENDENTE;9100.0;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;0;0;0;2022;9;2;6;Viernes
AU FRONDIZI;ASCENDENTE;1400.0;BUENO;SECA;1;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0;2022;9;2;11;Viernes
AU FRONDIZI;DESCENDENTE;2800.0;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;1;0;0;2022;9;3;5;Sábado
AU 25 DE MAYO;DESCENDENTE;5500.0;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;1;0;0;2022;9;3;10;Sábado
AV. LUGONES;DESCENDENTE;8500.0;BUENO;SECA;2;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0;2022;9;3;11;Sábado
AV. CANTILO;ASCENDENTE;8500.0;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;1;0;0;2022;9;4;21;Domingo
AV. LUGONES;DESCENDENTE;4600.0;BUENO;SECA;6;0;OBSTACULO NO FIJO;0;3;0;0;2022;9;4;22;Domingo
AU 25 DE MAYO;DESCENDENTE;5700.0;BUENO;SECA;1;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0;2022;9;5;1;Lunes
AU CAMPORA;DESCENDENTE;3400.0;BUENO;SECA;1;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0;2022;9;5;14;Lunes
AU DELLEPIANE;ASCENDENTE;3500.0;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;1;0;0;2022;9;6;6;Martes
AV. LUGONES;DESCENDENTE;8800.0;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;0;3;0;0;2022;9;7;8;Miércoles
AU 25 DE MAYO;DESCENDENTE;9000.0;BUENO;SECA;0;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0;2022;9;7;14;Miércoles
AU 25 DE MAYO;DESCENDENTE;8100.0;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;0;0;0;2022;9;7;15;Miércoles
PTE. SCALABRINI ORTIZ;DESCENDENTE;4254.418498168498;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0;2022;9;7;17;Miércoles
AV. LUGONES;DESCENDENTE;6000.0;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0;2022;9;7;18;Miércoles
